Resolution,Date,Summary
A/HRC/RES/43/2,2020/06/19,Promotion and protection of human rights in Nicaragua :resolution /adopted by the Human Rights Council at its 43rd session
A/HRC/RES/43/3,2020/06/19,"Ensuring accountability and justice for all violations of international law in the Occupied Palestinian Territory, including East Jerusalem :resolution /adopted by the Human Rights Council at its 43rd session"
A/HRC/RES/43/10,2020/06/19,"Mandate of the Independent Expert on the effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights :resolution /adopted by the Human Rights Council at its 43rd session"
A/HRC/RES/43/15,2020/06/22,The negative impact of unilateral coercive measures on the enjoyment of human rights :resolution /adopted by the Human Rights Council at its 43rd session
A/HRC/RES/43/21,2020/06/22,Promoting mutually beneficial cooperation in the field of human rights :resolution /adopted by the Human Rights Council at its 43rd session
A/HRC/RES/43/24,2020/06/22,Situation of human rights in the Islamic Republic of Iran :resolution /adopted by the Human Rights Council at its 43rd session
A/HRC/RES/43/26,2020/06/22,Situation of human rights in Myanmar :resolution /adopted by the Human Rights Council at its 43rd session
A/HRC/RES/43/28,2020/06/22,Situation of human rights in the Syrian Arab Republic :resolution /adopted by the Human Rights Council at its 43rd session
A/HRC/RES/43/30,2020/06/22,Human rights in the occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 43rd session
A/HRC/RES/43/31,2020/06/22,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 43rd session"
A/HRC/RES/43/32,2020/06/22,"Human rights situation in the Occupied Palestinian Territory, including East Jerusalem :resolution /adopted by the Human Rights Council at its 43rd session"
A/HRC/RES/43/33,2020/06/22,Right of the Palestinian people to self-determination :resolution /adopted by the Human Rights Council at its 43rd session
A/HRC/RES/43/37,2020/06/22,Cooperation with Georgia :resolution /adopted by the Human Rights Council at its 43rd session
A/HRC/RES/44/1,2020/07/16,Situation of human rights in Eritrea :resolution /adopted by the Human Rights Council at its 44th session
A/HRC/RES/44/11,2020/07/16,Mandate of the Independent Expert on human rights and international solidarity :resolution /adopted by the Human Rights Council at its 44th session
A/HRC/RES/44/14,2020/07/17,"Fifteenth anniversary of the responsibility to protect populations from genocide, war crimes, ethnic cleansing and crimes against humanity, as enshrined in the 2005 World Summit Outcome :resolution /adopted by the Human Rights Council at its 44th session"
A/HRC/RES/44/18,2020/07/17,Enhancement of international cooperation in the field of human rights :resolution /adopted by the Human Rights Council at its 44th session
A/HRC/RES/44/19,2020/07/17,Situation of human rights in Belarus :resolution /adopted by the Human Rights Council at its 44th session
A/HRC/RES/44/21,2020/07/17,Situation of human rights in the Syrian Arab Republic :resolution /adopted by the Human Rights Council at its 44th session
A/HRC/RES/44/23,2020/07/17,Contribution of respect for all human rights and fundamental freedoms to achieving the purposes and upholding the principles of the Charter of the United Nations :resolution /adopted by the Human Rights Council at its 44th session
A/HRC/RES/45/1,2020/09/18,Situation of human rights in Belarus in the run-up to the 2020 presidential election and in its aftermath :resolution /adopted by the Human Rights Council at its 45th session
A/HRC/RES/45/2,2020/10/06,Strengthening cooperation and technical assistance in the field of human rights in the Bolivarian Republic of Venezuela :resolution /adopted by the Human Rights Council at its 45th session
A/HRC/RES/45/4,2020/10/06,Mandate of the Independent Expert on the promotion of a democratic and equitable international order :resolution /adopted by the Human Rights Council at its 45th session
A/HRC/RES/45/5,2020/10/06,Human rights and unilateral coercive measures :resolution /adopted by the Human Rights Council at its 45th session
A/HRC/RES/45/6,2020/10/06,The right to development :resolution /adopted by the Human Rights Council at its 45th session
A/HRC/RES/45/14,2020/10/06,Eliminating inequality within and among States for the realization of human rights :resolution /adopted by the Human Rights Council at its 45th session
A/HRC/RES/45/15,2020/10/06,Situation of human rights in Yemen :resolution /adopted by the Human Rights Council at its 45th session
A/HRC/RES/45/19,2020/10/06,Situation of human rights in Burundi :resolution /adopted by the Human Rights Council at its 45th session
A/HRC/RES/45/20,2020/10/06,Situation of human rights in the Bolivarian Republic of Venezuela :resolution /adopted by the Human Rights Council at its 45th session
A/HRC/RES/45/21,2020/10/06,Situation of human rights in the Syrian Arab Republic :resolution /adopted by the Human Rights Council at its 45th session
A/HRC/RES/45/31,2020/10/07,The contribution of the Human Rights Council to the prevention of human rights violations :resolution /adopted by the Human Rights Council at its 45th session
