Resolution,Date,Summary
A/HRC/RES/31/1,2016/03/23,Composition of staff of the Office of the United Nations High Commissioner for Human Rights :resolution /adopted by the Human Rights Council at its 31st session
A/HRC/RES/31/4,2016/03/23,Commemoration of the thirtieth  anniversary of the Declaration on the Right to Development :resolution /adopted by the Human Rights Council at its 31st session
A/HRC/RES/31/11,2016/03/23,"The effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights :resolution /adopted by the Human Rights Council at its 31st session"
A/HRC/RES/31/17,2016/03/23,The human rights situation in the Syrian Arab Republic :resolution /adopted by the Human Rights Council at its 31st session
A/HRC/RES/31/19,2016/03/23,Situation of human rights in the Islamic Republic of Iran :resolution /adopted by the Human Rights Council at its 31st session
A/HRC/RES/31/22,2016/03/24,"The negative impact of the non-repatriation of funds of illicit origin to the countries of origin on the enjoyment of human rights, and the importance of improving international cooperation :resolution /adopted by the Human Rights Council at its 31st session"
A/HRC/RES/31/30,2016/03/24,Effects of terrorism on the enjoyment of all human rights :resolution /adopted by the Human Rights Council at its 31st session
A/HRC/RES/31/32,2016/03/24,"Protecting human rights defenders, whether individuals, groups or organs of society, addressing economic, social and cultural rights :resolution /adopted by the Human Rights Council at its 31st session"
A/HRC/RES/31/34,2016/03/24,"Human rights situation in the Occupied Palestinian Territory, including East Jerusalem :resolution /adopted by the Human Rights Council at its 31st session"
A/HRC/RES/31/35,2016/03/24,"Ensuring accountability and justice for all violations of international law in the Occupied Palestinian Territory, including East Jerusalem :resolution /adopted by the Human Rights Council at its 31st session"
A/HRC/RES/31/36,2016/03/24,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 31st session"
A/HRC/RES/31/37,2016/03/24,The promotion and protection of human rights in the context of peaceful protests :resolution /adopted by the Human Rights Council at its 31st session
A/HRC/RES/32/2,2016/06/30,Protection against violence and discrimination based on sexual orientation and gender identity :resolution /adopted by the Human Rights Council at its 32nd session
A/HRC/RES/32/9,2016/06/30,Human rights and international solidarity :resolution /adopted by the Human Rights Council at its 32nd session
A/HRC/RES/32/12,2016/07/01,Impact of arms transfers on human rights :resolution /adopted by the Human Rights Council at its 32nd session
A/HRC/RES/32/23,2016/07/01,Protection of the family : role of the family in supporting the protection and promotion of human rights of persons with disabilities :resolution /adopted by the Human Rights Council at its 32nd session
A/HRC/RES/32/25,2016/07/01,The human rights situation in the Syrian Arab Republic :resolution /adopted by the Human Rights Council at its 32nd session
A/HRC/RES/32/26,2016/07/01,Situation of human rights in Belarus :resolution /adopted by the Human Rights Council at its 32nd session
A/HRC/RES/32/28,2016/07/01,Declaration on the right to peace :resolution /adopted by the Human Rights Council at its 32nd session
A/HRC/RES/32/29,2016/07/01,Cooperation with and assistance to Ukraine in the field of human rights :resolution /adopted by the Human Rights Council at its 32nd session
A/HRC/RES/32/31,2016/07/01,Civil society space :resolution /adopted by the Human Rights Council at its 32nd session
A/HRC/RES/33/3,2016/09/29,Promotion of a democratic and equitable international order :resolution /adopted by the Human Rights Council at its 33rd session
A/HRC/RES/33/4,2016/09/29,The use of mercenaries as a means of violating human rights and impeding the exercise of the right of peoples to self-determination :resolution /adopted by the Human Rights Council at its 33rd session
A/HRC/RES/33/10,2016/09/29,The human rights to safe drinking water and sanitation :resolution /adopted by the Human Rights Council at its 33rd session
A/HRC/RES/33/14,2016/09/29,The right to development :resolution /adopted by the Human Rights Council at its 33rd session
A/HRC/RES/33/19,2016/09/30,Human rights and transitional justice :resolution /adopted by the Human Rights Council at its 33rd session
A/HRC/RES/33/21,2016/09/30,Protection of human rights and fundamental freedoms while countering terrorism :resolution /adopted by the Human Rights Council at its 33rd session
A/HRC/RES/33/23,2016/09/30,The human rights situation in the Syrian Arab Republic :resolution /adopted by the Human Rights Council at its 33rd session
A/HRC/RES/33/24,2016/09/30,Situation of human rights in Burundi :resolution /adopted by the Human Rights Council at its 33rd session
A/HRC/RES/33/30,2016/09/30,Arbitrary detention :resolution /adopted by the Human Rights Council at its 33rd session
A/HRC/RES/S-25/1,2016/10/21,"The deteriorating situation of human rights in the Syrian Arab Republic, and the recent situation in Aleppo :resolution /adopted by the Human Rights Council at its 25th special session"
